id,name,winningbid,metersread
157,2003 Cat D11R Crawler Dozer,"US $101,000","37,707 Hours"
158,2018 Cat 986K Wheel Loader,"US $425,000","6,887 Hours"
159,2013 Cat D8T Crawler Dozer,"US $291,000","4,388 Hours"
160,2011 Cat 420E 4x4 Backhoe Loader,"US $52,000","5,227 Hours"
161,2020 Cat 236D3 Skid Steer Loader,"US $20,000","6,314 Hours"
162,2017 Cat 242D Skid Steer Loader,"US $21,500","2,034 Hours"
163,2017 Cat 259D Two-Speed Compact Track Loader,"US $34,000",934 Hours
164,2015 Cat 226B3 Skid Steer Loader,"US $17,500","1,711 Hours"
165,2019 Cat 304E2 CR Mini Excavator,"US $41,000","1,099 Hours"
166,2018 Cat 259D Two-Speed Compact Track Loader,"US $57,000",349 Hours
167,2008 Cat 305C Mini Excavator,"US $27,000","5,689 Hours"
168,2012 Cat 305E CR Mini Excavator,"US $30,500","3,430 Hours"
169,2005 Cat D4G XL Crawler Dozer,"US $29,000","6,143 Hours"
170,2018 Cat 303E CR Mini Excavator,"US $23,000",NONE
171,2012 Cat 246C Two-Speed Skid Steer Loader,"US $23,500","1,016 Hours"
172,2011 Cat 320DL Tracked Excavator,"US $63,000","10,130 Hours"
173,2012 Cat 304E CR Mini Excavator,"US $32,500",NONE
174,2014 Cat 299D Two-Speed Compact Track Loader,"US $56,000",874 Hours
175,2014 Cat 336ELH Track Excavator,"US $69,000","9,698 Hours"
176,2015 Cat 308E2 CR Tracked Excavator,"US $55,000","1,275 Hours"
177,2012 Cat 246C Two-Speed Skid Steer Loader,"US $26,500",698 Hours
178,2022 Cat 289D3 Two-Speed High Flow XPS Compact Track Loader,"US $80,000",542 Hours
179,2012 Cat 246C Two-Speed Skid Steer Loader,"US $25,000",924 Hours
180,2012 Cat 246C Two-Speed Skid Steer Loader,"US $26,500",699 Hours
181,2012 Cat 246C Two-Speed Skid Steer Loader,"US $26,500",634 Hours
182,2012 Cat 246C Two-Speed Skid Steer Loader,"US $27,500",710 Hours
183,2022 Cat 289D3 Two-Speed High Flow XPS Compact Track Loader,"US $78,000",686 Hours
184,Cat 140G Motor Grader,"US $44,000",NONE
185,2012 Cat 246C Two-Speed Skid Steer Loader,"US $24,500",875 Hours
186,2005 Cat 303 CR Mini Excavator,"US $18,500","4,742 Hours"
187,2017 Cat 305.5E2 CR Mini Excavator,"US $35,000","1,943 Hours"
188,2012 Cat 246C Two-Speed Skid Steer Loader,"US $27,950","1,016 Hours"
189,2013 Cat 246C Skid Steer Loader,"US $11,000","4,977 Hours"
190,2012 Cat 246C Two-Speed Skid Steer Loader,"US $30,000",796 Hours
191,2022 Cat 289D3 Compact Track Loader,"US $84,000",169 Hours
192,2016 Cat 926M High Lift Wheel Loader,"US $67,500","10,843 Hours"
193,2019 Cat 262D Skid Steer Loader,"US $22,000","6,730 Hours"
194,2012 Cat 320E Tracked Excavator,"US $88,000","4,895 Hours"
195,1997 Cat 416C 4x4 Backhoe Loader,"US $26,500","2,305 Hours"
196,2004 Cat TH460B Telehandler,"US $31,000",NONE
197,2018 Cat 311F LRR Tracked Excavator,"US $70,000","2,217 Hours"
198,2009 Cat 928H Wheel Loader,"US $52,000","9,522 Hours"
199,2011 Cat 329DL Tracked Excavator,"US $60,000","5,670 Hours"
200,2020 Cat 262D3 Two-Speed Skid Steer Loader,"US $32,000","1,210 Hours"
201,2004 Cat 420DIT 4x4 Backhoe Loader,"US $30,000",577 Hours
202,1983 Cat V50C 5000 lb Cushion Tire Forklift,"US $2,500",NONE
203,2006 Cat CS533C Smooth Drum Compactor,"US $37,000","4,980 Hours"
204,2003 Cat 320CL Tracked Excavator,"US $59,000","7,707 Hours"
205,2006 Cat D6R XL Series III Crawler Dozer,"US $80,000","13,722 Hours"
206,2012 Cat 246C Two-Speed Skid Steer Loader,"US $27,950",768 Hours
207,2012 Cat 246C Two-Speed Skid Steer Loader,"US $27,950",758 Hours
208,2012 Cat 246C Two-Speed Skid Steer Loader,"US $32,500",575 Hours
209,2010 Cat 329DL Tracked Excavator,"US $52,000","12,752 Hours"
210,1993 Cat 140G Motor Grader,"US $55,000","16,805 Hours"
211,Cat 637G Motor Scraper,"US $65,000","52,545 Hours"
212,1993 Cat 963 Crawler Loader,"US $26,000","13,113 Hours"
213,2016 Cat 308E2 CR Mini Excavator,"US $65,000","1,885 Hours"
214,2012 Cat 246C Two-Speed Skid Steer Loader,"US $28,000",691 Hours
