id,model,type,winningbid,metersread,year
219,304e2cr,mini,30000,1835,2015
271,304e2cr,mini,39000,1354,2019
58,305.5d,mini,25500,178,2011
83,305.5d,mini,26000,7960,2011
146,305.5e,mini,38000,2822,2013
41,305.5e2cr,mini,58000,895,2018
93,305.5e2cr,mini,38000,1467,2015
169,305.5e2cr,mini,36000,2847,2017
4,305c,mini,27000,5689,2008
70,305c,mini,23000,6424,2007
5,305e,mini,30500,3430,2012
127,305e,mini,23000,7201,2012
147,305e2cr,mini,57000,1579,2019
372,306-7cr,tracked,99000,159,2021
130,306cr,mini,81000,281,2021
69,307c,tracked,30500,6069,2005
113,307d,tracked,46000,4010,2013
184,307d,tracked,27500,8549,2011
1,308cr,tracked,82000,1973,2019
49,308cr,mini,71000,2520,2019
34,308d,mini,29000,5165,2012
50,308d,mini,40500,6148,2012
157,308d,mini,44000,6217,2011
186,308d,mini,25000,7788,2008
156,308dcr,mini,56000,1109,2012
304,308e,mini,51000,4744,2012
375,308e,tracked,80000,1660,2014
51,308e2cr,mini,47600,5238,2015
67,308e2cr,mini,63000,2867,2017
95,308e2cr,track,56500,3051,2016
225,308e2crsb,mini,49000,1617,2015
176,309cr,tracked,83000,1441,2019
248,310-07,tracked,59000,2413,2019
121,311b,tracked,16500,18659,1997
11,311f,tracked,70000,2217,2018
59,311flrr,tracked,61500,1347,2015
194,311flrr,tracked,74000,2648,2016
239,312b,tracked,18000,3516,1997
75,312bl,tracked,36000,4045,1999
37,312c,tracked,38000,9497,2005
374,312c,tracked,55000,100,2008
263,312el,tracked,33000,1631,2013
300,312el,tracked,77500,2570,2013
385,312fgc,tracked,135000,3305,2016
250,313f,tracked,90000,4169,2019
294,313flgc,tracked,60000,5046,2016
153,314d,track,72000,4307,2013
226,314e,tracked,70000,4085,2015
56,314elcr,tracked,75500,4226,2015
140,315c,tracked,50000,4256,2003
167,315c,tracked,34500,9328,2001
204,315c,tracked,36000,13850,2004
26,315fl,tracked,121500,3830,2018
68,315flcr,tracked,93000,3497,2019
324,315flcr,tracked,115000,2909,2019
333,315flcr,tracked,122000,4239,2016
340,315flcr,tracked,102000,4525,2016
80,315l,tracked,23500,9051,1995
377,315l,tracked,45000,8488,1996
122,316el,tracked,56000,2703,2016
27,316fl,tracked,135000,2826,2018
323,316fl,track,134000,845,2018
336,316fl,tracked,103000,3543,2018
339,316fl,tracked,103000,4243,2017
345,316fl,tracked,110000,3776,2018
382,316fl,tracked,250000,160,2021
337,318el,tracked,101000,2792,2016
92,320b,tracked,18000,12571,2003
228,320b,tracked,16600,12436,1996
233,320bl,tracked,38000,18028,2000
308,320bl,tracked,24700,26130,2000
91,320c,tracked,37000,20022,2006
210,320c,tracked,40000,18487,2005
373,320c,tracked,70000,7108,2002
14,320cl,tracked,59000,7707,2003
38,320cl,tracked,36000,7141,2002
44,320cl,tracked,52000,13384,2003
149,320cl,tracked,44000,14353,2001
152,320cl,tracked,32000,3876,2003
177,320cl,tracked,35500,18893,2006
203,320cl,tracked,56000,14857,2006
242,320cl,tracked,47000,10139,2005
81,320d,tracked,41000,12305,2008
116,320d,tracked,51000,11440,2011
7,320dl,tracked,63000,10130,2011
111,320dl,tracked,53000,8949,2011
307,320dl,tracked,56700,12777,2012
12,320e,tracked,88000,4895,2012
165,320e,tracked,71000,8119,2012
227,320e,tracked,80000,7273,2013
258,320e,tracked,80000,8515,2013
261,320e,tracked,69000,12471,2012
285,320e,tracked,58000,12364,2013
296,320e,tracked,45000,8889,2012
369,320e,tracked,120000,4381,2014
20,320el,tracked,65000,6124,2013
136,320el,tracked,77000,7970,2012
215,320el,tracked,76000,7275,2013
243,320el,tracked,50000,8394,2013
286,320el,tracked,70000,11710,2014
145,320elrr,tracked,47000,11323,2014
23,320fl,tracked,80000,5020,2016
39,320l,tracked,12400,24468,1994
43,320l,tracked,7100,18622,1994
54,320l,tracked,12800,14170,1994
135,320l,tracked,8500,11261,1995
211,321c,tracked,24000,8729,2005
126,321d,tracked,60100,10770,2011
311,321d,tracked,75000,3747,2014
319,321d,tracked,56000,9445,2008
