id,name,winningbid,metersread
122,2015 Cat 329FL Tracked Excavator,"US $77,000","6,057 Hours"
123,1992 Cat 235C Tracked Excavator,"US $15,500","7,776 Hours"
124,1981 Cat 225 Tracked Excavator,"US $13,500","2,778 Hours"
125,Cat 345B L Tracked Excavator,"US $26,000","20,703 Hours"
126,2006 Cat 320C Tracked Excavator,"US $30,800",NONE
127,1992 Cat 325 Tracked Excavator,"US $38,500","8,008 Hours"
128,2021 Cat 304E2CR Mini Excavator,"US $62,000",385 Hours
129,2011 Cat 320DL Tracked Excavator,"US $53,000","8,949 Hours"
130,1993 Cat E120B Tracked Excavator,"US $16,000","9,280 Hours"
131,2013 Cat 307D Tracked Excavator,"US $46,000","4,010 Hours"
132,2014 Cat 308E2 CR Mini Excavator,"US $48,500","4,265 Hours"
133,2018 Cat 304E2CR Mini Excavator,"US $31,000","3,119 Hours"
134,2011 Cat 320D L Tracked Excavator,"US $51,000","11,440 Hours"
135,2005 Cat 303 CR Mini Excavator,"US $20,500","2,634 Hours"
136,1990 Cat 235C Tracked Excavator,"US $11,000","29,776 Hours"
137,2017 Cat 305E2 CR Mini Excavator,"US $25,500","2,568 Hours"
138,2004 Cat 330C Tracked Excavator,"US $18,600","24,884 Hours"
139,1997 Cat 311B Tracked Excavator,"US $16,500","18,659 Hours"
140,2016 Cat 316EL Tracked Excavator,"US $56,000","2,703 Hours"
141,1998 Cat 345BL Tracked Excavator,"US $28,000","20,142 Hours"
142,2007 Cat 325DL Tracked Excavator,"US $54,500","11,084 Hours"
143,Cat 330BL Tracked Excavator,"US $17,000","23,040 Hours"
144,2010 Cat 345DL Tracked Excavator,"US $93,000","13,705 Hours"
145,2011 Cat 321D Tracked Excavator,"US $60,100","10,770 Hours"
146,2012 Cat 305E CR Mini Excavator,"US $23,000","7,201 Hours"
147,2014 Cat 308E2 CR Tracked Excavator,"US $75,480","2,639 Hours"
148,2020 Cat 304E2 CR Mini Excavator,"US $53,000",959 Hours
149,2021 Cat 306CR Mini Excavator,"US $81,000",281 Hours
150,2017 Cat 304E2CR Mini Excavator,"US $24,750","2,576 Hours"
151,2008 Cat 330DL Tracked Excavator,"US $43,000","16,259 Hours"
152,2006 Cat 330CL Tracked Excavator,"US $38,000","20,301 Hours"
153,1987 Cat EL180 Tracked Excavator,"US $10,000","2,158 Hours"
154,1995 Cat 320L Tracked Excavator,"US $8,500","11,261 Hours"
155,2012 Cat 320EL Tracked Excavator,"US $77,000","7,970 Hours"
156,2004 Cat 330CL Tracked Excavator,"US $41,000","18,691 Hours"
157,2008 Cat 330D L Tracked Excavator,"US $59,000","11,248 Hours"
158,2008 Cat 321D LCR Tracked Excavator,"US $51,000",NONE
159,2016 Cat 336FL Tracked Excavator,"US $77,000","9,974 Hours"
160,2020 Cat 307.5 Tracked Excavator,"US $59,000",NONE
161,2003 Cat 315C L Tracked Excavator,"US $50,000","4,256 Hours"
162,2010 Cat 345DL Tracked Excavator,"US $53,000","14,537 Hours"
163,2013 Cat 302.7D CR Mini Excavator,"US $20,000","4,461 Hours"
164,1997 Cat 322B L Tracked Excavator,"US $20,000","15,840 Hours"
165,2003 Cat 330CL Tracked Excavator,"US $17,500",NONE
166,2007 Cat 328D LCR Tracked Excavator,"US $66,000","2,688 Hours"
167,2018 Cat 308E2 CR Mini Excavator,"US $52,000",NONE
168,2014 Cat 320ELRR Tracked Excavator,"US $47,000","11,323 Hours"
169,2013 Cat 305.5E Mini Excavator,"US $38,000","2,822 Hours"
170,Cat 330BL Tracked Excavator,"US $18,500","17,771 Hours"
171,2019 Cat 305E2CR Mini Excavator,"US $57,000","1,579 Hours"
172,2002 Cat 322CL Tracked Excavator,"US $45,500","12,172 Hours"
173,2001 Cat 320CL Tracked Excavator,"US $44,000","14,353 Hours"
174,2017 Cat 304E2CR Mini Excavator,"US $47,000","1,148 Hours"
175,2018 Cat 305.5E2 CR Mini Excavator,"US $34,000","3,868 Hours"
176,2003 Cat 320CL Tracked Excavator,"US $32,000","3,876 Hours"
177,2013 Cat 314D LCR Track Excavator,"US $72,000","4,307 Hours"
178,2006 Cat 330CL  Tracked Excavator,"US $37,000","9,663 Hours"
179,1999 Cat M318 Wheel Excavator,"US $22,000","12,110 Hours"
180,2012 Cat 308DCR Mini Excavator,"US $56,000","1,109 Hours"
181,2011 Cat 308D Mini Excavator,"US $44,000","6,217 Hours"
182,2004 Cat 322CL Tracked Excavator,"US $9,600","19,285 Hours"
183,2014 Cat 329EL Tracked Excavator,"US $75,000","7,990 Hours"
184,2011 Cat 336E L Tracked Excavator,"US $56,000","13,712 Hours"
185,2020 Cat 304E2CR Mini Excavator,"US $54,000",694 Hours
186,2015 Cat 349FL Tracked Excavator,"US $74,000","18,257 Hours"
187,2021 Cat 304E2 Mini Excavator,"US $43,000",451 Hours
188,2011 Cat 321DL CR Tracked Excavator,"US $60,000","5,999 Hours"
189,2012 Cat 320E L Tracked Excavator,"US $71,000","8,119 Hours"
190,2009 Cat 328D Tracked Excavator,"US $61,000","3,436 Hours"
191,2001 Cat 315C Tracked Excavator,"US $34,500","9,328 Hours"
192,1996 Cat 312 Tracked Excavator,"US $16,200","7,069 Hours"
193,2017 Cat 305.5E2CR Mini Excavator,"US $36,000","2,847 Hours"
194,2006 Cat 330C Tracked Excavator,"US $19,900","27,715 Hours"
195,2017 Cat 305E2 CR Mini Excavator,"US $42,000","1,901 Hours"
196,2007 Cat 320 DL Tracked Excavator,"US $60,000","6,850 Hours"
197,2011 Cat 345DL Tracked Excavator,"US $54,000",NONE
198,2018 Cat 302.7DCR Mini Excavator,"US $28,500",902 Hours
199,2016 Cat 307E2 Tracked Excavator,"US $64,000","1,161 Hours"
200,2019 Cat 301.8 Mini Excavator,"US $25,000",61 Hours
201,2015 Cat 323FL Tracked Excavator,"US $39,500",NONE
